"","arrayId","source","sampleName","arrayType","tumorType","location","conversion"
"209","200360420008_R01C02","Jakel","8M","Illumina_450K","ACC","liver metastasis",1.18571198467536
"210","200325530168_R05C01","Jakel","9LK","Illumina_450K","ACC","lymph node metastasis",1.11896406081564
"211","200325530168_R01C01","Jakel","1LK","Illumina_450K","ACC","lymph node metastasis",1.18766574478898
"212","200360420003_R05C01","Jakel","12LK","Illumina_450K","ACC","lymph node metastasis",1.2769818258861
"213","200360420003_R01C01","Jakel","6LK","Illumina_450K","ACC","lymph node metastasis",1.14990701090957
"214","200360420007_R06C01","Jakel","19LK","Illumina_450K","ACC","lymph node metastasis",1.28447713915586
"215","200360420008_R02C01","Jakel","8LK","Illumina_450K","ACC","lymph node metastasis",1.18075407966196
"216","200325530168_R04C02","Jakel","20LK","Illumina_450K","MACNEC","lymph node metastasis",1.24435967184712
"217","200360420003_R03C02","Jakel","23LK","Illumina_450K","MACNEC","lymph node metastasis",1.17451628404754
"218","9769100027_R01C01","Jakel","10N","Illumina_450K","normal","acc normal",1.153731041927
"219","9769100027_R04C02","Jakel","4N","Illumina_450K","normal","acc normal",1.04010081621154
"220","9769100027_R03C02","Jakel","5N","Illumina_450K","normal","acc normal",1.08711994006598
"221","9769100029_R03C02","Jakel","11N","Illumina_450K","normal","acc normal",1.09561769111658
"222","9769100029_R05C02","Jakel","13N","Illumina_450K","normal","acc normal",1.14754090675144
"223","9769100029_R01C02","Jakel","3N","Illumina_450K","normal","acc normal",1.03787795774034
"224","9769100029_R06C01","Jakel","6N","Illumina_450K","normal","acc normal",0.973259014593936
"225","9769100029_R06C02","Jakel","7N","Illumina_450K","normal","acc normal",1.09398580761571
"226","9769100039_R05C02","Jakel","12N","Illumina_450K","normal","acc normal",1.23698883380526
"227","9769100039_R03C02","Jakel","1N","Illumina_450K","normal","acc normal",1.04379841769666
"228","9769100039_R01C02","Jakel","8N","Illumina_450K","normal","acc normal",1.15471338321943
"229","9769100039_R05C01","Jakel","9N","Illumina_450K","normal","acc normal",1.02071041871705
"230","200325530168_R03C01","Jakel","ACC K21 N","Illumina_450K","normal","acc normal",1.21459637721265
"231","200325530168_R01C02","Jakel","ACC K25 N","Illumina_450K","normal","acc normal",1.20273554947684
"232","200360420003_R03C01","Jakel","ACC K22 N","Illumina_450K","normal","acc normal",0.944392628141834
"233","200360420003_R01C02","Jakel","ACC K26 N","Illumina_450K","normal","acc normal",1.2892679064497
"234","200360420007_R06C02","Jakel","ACC K2 N","Illumina_450K","normal","acc normal",1.17790638777202
"235","200360420007_R01C01","Jakel","ACC K23 N","Illumina_450K","normal","acc normal",1.2958023284937
"236","200360420007_R05C01","Jakel","ACC K24 N","Illumina_450K","normal","acc normal",1.22411856434729
"237","200360420007_R02C02","Jakel","ACC K27 N","Illumina_450K","normal","acc normal",1.21274518390894
"238","200360420007_R05C02","Jakel","ACC K28 N","Illumina_450K","normal","acc normal",1.23108468146189
"239","200360420008_R04C01","Jakel","ACC K1 N","Illumina_450K","normal","acc normal",1.15334232328758
"240","9721366130_R04C01","Jakel","acinar","Illumina_450K","normal","acinar cells",1.32951708769688
"241","7990895122_R02C01","Jakel","Alpha1","Illumina_450K","normal","alpha cells",1.4712964682972
"242","7990895122_R05C01","Jakel","Alpha3","Illumina_450K","normal","alpha cells",1.37056217775709
"243","7990895122_R01C01","Jakel","Beta1","Illumina_450K","normal","beta cells",1.52048992390395
"244","7990895122_R01C02","Jakel","Beta2","Illumina_450K","normal","beta cells",1.53471697184092
"245","7990895122_R04C01","Jakel","Beta3","Illumina_450K","normal","beta cells",1.38443348517576
"246","7990895088_R06C02","Jakel","duct","Illumina_450K","normal","ductal cells",1.27019679718721
"247","9855358054_R02C02","Jakel","21N","Illumina_450K","normal","MACNEC normal",1.15195130766104
"248","9855358054_R05C01","Jakel","22N","Illumina_450K","normal","MACNEC normal",1.18512536860903
"249","9855358054_R03C01","Jakel","23N","Illumina_450K","normal","MACNEC normal",1.2097761407272
"250","9769100027_R02C02","Jakel","N1N","Illumina_450K","normal","pancreas",1.02714456139738
